,open,high,low,close,volume,day,time
13913,309.0,309.04,308.69,308.7,1878120,2019-11-13,16:00:00
13914,308.9,308.91,308.83,308.91,1500,2019-11-14,09:30:00
13915,308.93,309.52,308.93,309.3,7892,2019-11-14,10:00:00
13916,309.3,309.32,309.05,309.1,4695,2019-11-14,10:30:00
13917,309.05,309.05,308.83,308.91,10710,2019-11-14,11:00:00
13918,308.95,309.15,308.95,309.1,45568,2019-11-14,11:30:00
13919,309.17,309.22,308.98,309.03,23871,2019-11-14,12:00:00
13920,308.99,309.02,308.9,309.02,52462,2019-11-14,12:30:00
13921,309.02,309.17,308.7,308.91,105106,2019-11-14,13:00:00
13922,308.9,309.0,308.66,308.81,262900,2019-11-14,13:30:00
13923,308.81,308.92,308.74,308.77,98659,2019-11-14,14:00:00
13924,308.79,309.2,308.7,309.2,2199156,2019-11-14,14:30:00
13925,309.19,309.46,309.12,309.25,2434006,2019-11-14,15:00:00
13926,309.245,309.31,308.83,308.86,3022225,2019-11-14,15:30:00
13927,308.85,309.35,308.81,309.15,2369693,2019-11-14,16:00:00
13928,310.48,310.6,310.47,310.6,5735,2019-11-15,09:30:00
13929,310.6,310.6,310.36,310.37,25927,2019-11-15,10:00:00
13930,310.36,310.41,310.21,310.25,18386,2019-11-15,10:30:00
13931,310.27,310.3,310.17,310.3,5700,2019-11-15,11:00:00
13932,310.27,310.35,310.25,310.32,5805,2019-11-15,11:30:00
13933,310.3,310.5,310.3,310.41,72143,2019-11-15,12:00:00
13934,310.41,310.59,310.38,310.45,113818,2019-11-15,12:30:00
13935,310.43,310.67,310.29,310.48,25550,2019-11-15,13:00:00
13936,310.41,310.7,310.3402,310.67,128240,2019-11-15,13:30:00
13937,310.67,311.01,310.6,311.01,455771,2019-11-15,14:00:00
13938,311.01,311.04,310.26,310.31,4652566,2019-11-15,14:30:00
13939,310.31,310.86,310.29,310.81,6244245,2019-11-15,15:00:00
13940,310.81,310.94,310.61,310.89,2528599,2019-11-15,15:30:00
13941,310.89,311.42,310.8839,311.38,6885127,2019-11-15,16:00:00
13942,312.17,312.24,312.17,312.24,4075,2019-11-18,09:30:00
13943,312.32,312.37,312.22,312.34,3575,2019-11-18,10:00:00
13944,312.37,312.37,312.16,312.16,5537,2019-11-18,10:30:00
13945,312.14,312.22,312.09,312.21,12652,2019-11-18,11:00:00
13946,312.19,312.33,312.19,312.3,13100,2019-11-18,11:30:00
13947,312.3,312.38,312.23,312.36,25388,2019-11-18,12:00:00
13948,312.38,312.47,312.34,312.45,114693,2019-11-18,12:30:00
13949,312.4,312.58,311.4,311.44,226095,2019-11-18,13:00:00
13950,311.42,311.68,311.3,311.63,483323,2019-11-18,13:30:00
13951,311.63,311.71,311.45,311.55,229042,2019-11-18,14:00:00
13952,311.53,311.58,311.085,311.45,3570983,2019-11-18,14:30:00
13953,311.45,311.64,311.03,311.18,8111708,2019-11-18,15:00:00
13954,311.18,311.8,311.11,311.6223,3789790,2019-11-18,15:30:00
13955,311.625,311.93,311.48,311.81,3927005,2019-11-18,16:00:00
13956,312.75,313.12,312.75,313.09,7035,2019-11-19,09:30:00
13957,313.08,313.12,313.05,313.12,2495,2019-11-19,10:00:00
13958,313.09,313.1,313.0,313.03,8246,2019-11-19,10:30:00
13959,312.99,313.13,312.85,312.86,18325,2019-11-19,11:00:00
13960,312.9,312.94,312.78,312.92,11652,2019-11-19,11:30:00
13961,312.9,312.9,312.75,312.79,47109,2019-11-19,12:00:00
13962,312.77,312.91,312.75,312.9,56137,2019-11-19,12:30:00
13963,312.92,312.92,312.54,312.81,62704,2019-11-19,13:00:00
13964,312.78,312.84,312.63,312.67,111996,2019-11-19,13:30:00
13965,312.67,312.87,312.66,312.67,154318,2019-11-19,14:00:00
13966,312.67,312.69,311.97,312.04,3544563,2019-11-19,14:30:00
13967,312.035,312.12,311.76,311.96,3507659,2019-11-19,15:00:00
13968,311.97,311.99,311.22,311.36,3154768,2019-11-19,15:30:00
13969,311.36,311.89,311.33,311.84,3080963,2019-11-19,16:00:00
13970,310.94,310.99,310.84,310.89,3552,2019-11-20,09:30:00
13971,310.83,310.83,310.6,310.63,6200,2019-11-20,10:00:00
13972,310.58,310.7,310.58,310.68,59660,2019-11-20,10:30:00
13973,310.77,310.77,310.39,310.5,38809,2019-11-20,11:00:00
13974,310.52,311.08,310.52,311.08,93073,2019-11-20,11:30:00
13975,311.04,311.2,310.93,311.09,73959,2019-11-20,12:00:00
13976,311.09,311.16,310.88,310.92,45579,2019-11-20,12:30:00
13977,311.04,311.46,310.66,311.11,72178,2019-11-20,13:00:00
13978,311.11,311.2,310.81,310.84,122633,2019-11-20,13:30:00
13979,310.83,311.31,310.82,311.28,218058,2019-11-20,14:00:00
13980,311.28,311.62,311.21,311.5,3936111,2019-11-20,14:30:00
13981,311.5,311.64,311.07,311.38,3651990,2019-11-20,15:00:00
13982,311.38,311.85,311.38,311.65,3615114,2019-11-20,15:30:00
13983,311.66,311.78,311.4,311.58,1947465,2019-11-20,16:00:00
13984,310.34,310.51,310.34,310.41,3300,2019-11-21,09:30:00
13985,310.4,311.22,310.4,310.93,26253,2019-11-21,10:00:00
13986,310.95,310.95,310.68,310.77,9875,2019-11-21,10:30:00
13987,310.77,310.77,310.63,310.7,15522,2019-11-21,11:00:00
13988,310.7,310.92,310.7,310.88,39530,2019-11-21,11:30:00
13989,310.86,310.9,310.6,310.61,83256,2019-11-21,12:00:00
13990,310.66,310.92,310.63,310.85,120168,2019-11-21,12:30:00
13991,310.81,311.48,309.97,311.29,576992,2019-11-21,13:00:00
13992,311.25,311.34,310.94,310.99,242981,2019-11-21,13:30:00
13993,310.97,311.11,310.8,310.8,180678,2019-11-21,14:00:00
13994,310.88,311.01,310.05,310.29,4837880,2019-11-21,14:30:00
13995,310.29,310.56,309.59,309.66,6463173,2019-11-21,15:00:00
13996,309.67,310.12,309.39,310.07,4854821,2019-11-21,15:30:00
13997,310.0739,310.3999,309.95,310.03,2227987,2019-11-21,16:00:00
13998,310.97,311.05,310.94,311.05,4870,2019-11-22,09:30:00
13999,311.06,311.15,310.96,311.13,5930,2019-11-22,10:00:00
14000,311.08,311.08,310.9,310.97,14571,2019-11-22,10:30:00
14001,310.95,311.0,310.62,310.76,19499,2019-11-22,11:00:00
14002,310.74,310.9,310.72,310.9,9328,2019-11-22,11:30:00
14003,310.91,311.11,310.91,311.01,24343,2019-11-22,12:00:00
14004,311.02,311.04,310.9,311.0,57971,2019-11-22,12:30:00
14005,311.0099,311.4,310.73,310.78,56997,2019-11-22,13:00:00
14006,310.81,311.18,310.62,311.09,427951,2019-11-22,13:30:00
14007,311.06,311.17,310.94,311.07,73099,2019-11-22,14:00:00
14008,311.09,311.22,310.72,311.08,3294372,2019-11-22,14:30:00
14009,311.08,311.24,310.5,310.51,3379630,2019-11-22,15:00:00
14010,310.515,310.77,310.17,310.4,5189957,2019-11-22,15:30:00
14011,310.4,310.505,309.85,310.29,2720193,2019-11-22,16:00:00
14012,311.96,311.98,311.91,311.98,6780,2019-11-25,09:30:00
14013,312.01,312.01,311.93,311.96,10270,2019-11-25,10:00:00
14014,311.98,312.06,311.98,312.03,11093,2019-11-25,10:30:00
14015,311.99,312.01,311.86,311.87,3203,2019-11-25,11:00:00
14016,311.89,311.91,311.85,311.9,2813,2019-11-25,11:30:00
14017,311.9,312.03,311.8,311.8,47343,2019-11-25,12:00:00
14018,311.85,311.9,311.82,311.87,81246,2019-11-25,12:30:00
14019,311.83,312.17,311.76,311.9,115903,2019-11-25,13:00:00
14020,311.95,312.13,311.93,312.09,155779,2019-11-25,13:30:00
14021,312.0999,312.1,311.96,311.96,229640,2019-11-25,14:00:00
14022,311.98,312.75,311.98,312.715,5374105,2019-11-25,14:30:00
14023,312.705,312.97,312.68,312.94,3655020,2019-11-25,15:00:00
14024,312.94,313.15,312.85,312.885,4380728,2019-11-25,15:30:00
14025,312.88,312.96,312.705,312.91,2651124,2019-11-25,16:00:00
14026,313.02,313.14,313.02,313.1,7217,2019-11-26,09:30:00
14027,313.13,313.17,313.05,313.13,8290,2019-11-26,10:00:00
14028,313.21,313.33,313.2,313.29,12130,2019-11-26,10:30:00
14029,313.28,313.32,313.23,313.25,24731,2019-11-26,11:00:00
14030,313.24,313.39,313.23,313.26,4737,2019-11-26,11:30:00
14031,313.24,313.37,313.2,313.33,16884,2019-11-26,12:00:00
14032,313.32,313.41,313.32,313.34,39839,2019-11-26,12:30:00
14033,313.2499,313.6,313.2,313.4,229746,2019-11-26,13:00:00
14034,313.36,313.51,313.36,313.41,56688,2019-11-26,13:30:00
14035,313.38,313.54,313.28,313.43,218218,2019-11-26,14:00:00
14036,313.41,313.81,313.06,313.74,3327456,2019-11-26,14:30:00
14037,313.75,313.87,313.41,313.62,3160928,2019-11-26,15:00:00
14038,313.6136,313.83,313.4808,313.7,2195792,2019-11-26,15:30:00
14039,313.7,313.94,313.57,313.85,2072582,2019-11-26,16:00:00
14040,315.05,315.05,314.95,315.02,4440,2019-11-27,09:30:00
14041,315.05,315.13,315.0,315.02,7221,2019-11-27,10:00:00
14042,315.0,315.1,315.0,315.05,7535,2019-11-27,10:30:00
14043,315.05,315.05,314.9,314.93,14939,2019-11-27,11:00:00
14044,314.88,314.93,314.78,314.78,6239,2019-11-27,11:30:00
14045,314.78,314.9,314.76,314.83,23086,2019-11-27,12:00:00
14046,314.81,314.88,314.75,314.88,45473,2019-11-27,12:30:00
14047,314.8,315.0,314.63,314.8,81733,2019-11-27,13:00:00
14048,314.84,315.03,314.68,314.68,220692,2019-11-27,13:30:00
14049,314.7,314.76,314.6,314.64,177010,2019-11-27,14:00:00
14050,314.61,314.7,314.37,314.61,3096383,2019-11-27,14:30:00
14051,314.62,314.62,314.37,314.52,4141199,2019-11-27,15:00:00
14052,314.53,314.759,314.39,314.68,3945506,2019-11-27,15:30:00
14053,314.68,314.76,314.5,314.68,1875624,2019-11-27,16:00:00
14054,314.82,314.87,314.78,314.87,5571,2019-11-29,09:30:00
14055,314.83,314.84,314.76,314.81,3080,2019-11-29,10:00:00
14056,314.87,314.87,314.73,314.79,2100,2019-11-29,10:30:00
14057,314.76,314.79,314.76,314.79,3435,2019-11-29,11:00:00
14058,314.81,314.9,314.79,314.79,8826,2019-11-29,11:30:00
14059,314.81,315.0,314.81,315.0,14109,2019-11-29,12:00:00
14060,314.99,315.03,314.91,315.01,22218,2019-11-29,12:30:00
14061,314.8899,315.02,314.35,314.92,45130,2019-11-29,13:00:00
14062,314.92,315.07,314.9,314.91,62772,2019-11-29,13:30:00
14063,314.91,314.99,314.87,314.87,237973,2019-11-29,14:00:00
14064,314.86,315.13,314.5869,314.975,4275307,2019-11-29,14:30:00
14065,314.97,315.12,314.83,314.94,3671691,2019-11-29,15:00:00
14066,314.94,315.03,314.8,314.87,2654499,2019-11-29,15:30:00
14067,314.865,314.885,314.63,314.7,2148940,2019-11-29,16:00:00
14068,315.6,315.67,315.5,315.53,3550,2019-12-02,09:30:00
14069,315.6,315.75,315.6,315.73,2850,2019-12-02,10:00:00
14070,315.7,315.74,315.58,315.6,6068,2019-12-02,10:30:00
14071,315.55,315.55,315.05,315.2,13308,2019-12-02,11:00:00
14072,315.2,315.2,314.79,315.01,17934,2019-12-02,11:30:00
14073,314.99,315.03,314.82,314.93,135979,2019-12-02,12:00:00
14074,314.96,315.07,314.88,315.01,82354,2019-12-02,12:30:00
14075,314.1872,315.42,314.1872,314.77,121683,2019-12-02,13:00:00
